LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageYrBlt,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,LogSalePrice
4.189654742026425,9.042040056544483,2003.0,2003.0,5.2832037287379885,6.561030665896573,0.0,5.017279836814924,856.0,6.75110146893676,0.0,7.444833273892193,1.0,0.0,2.0,1.0,3.0,0.6931471805599453,0.0,7.602900462204755,2.0,0.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.247694320220994
4.394449154672439,9.169622538697624,1976.0,1976.0,0.0,6.88653164253051,0.0,5.652489180268651,1262.0,0.0,0.0,7.141245122350491,0.0,0.6931471805599453,2.0,0.0,3.0,0.6931471805599453,1.0,7.589335823170617,2.0,5.700443573390686,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.109010932687042
4.23410650459726,9.328212292571072,2001.0,2002.0,5.093750200806762,6.18826412308259,0.0,6.075346031088684,920.0,6.7650389767805414,0.0,7.488293515159428,1.0,0.0,2.0,1.0,3.0,0.6931471805599453,1.0,7.601901959875166,2.0,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.31716669303576
4.110873864173311,9.164401140034737,1915.0,1970.0,0.0,5.37989735354046,0.0,6.293419278846481,756.0,6.6293632534374485,0.0,7.4489161025442,1.0,0.0,1.0,0.0,3.0,0.6931471805599453,1.0,7.6004023345004,3.0,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,0.0,2.0,2006.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.84939770159144
4.442651256490317,9.565283817736766,2000.0,2000.0,5.860786223465865,6.486160788944089,0.0,6.19644412779452,1145.0,6.960347729101308,0.0,7.695757990554761,1.0,0.0,2.0,1.0,4.0,0.6931471805599453,1.0,7.601402334583733,3.0,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.429216196844383
4.454347296253507,9.55506418479516,1993.0,1995.0,0.0,6.597145701886651,0.0,4.174387269895637,796.0,6.340359303727752,0.0,7.217443431696533,1.0,0.0,1.0,1.0,1.0,0.6931471805599453,0.0,7.597897950521784,2.0,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,6.55250788703459,10.0,2009.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.870599909242044
4.330733340286331,9.218804450388312,2004.0,2005.0,5.231108616854587,7.222566018822171,0.0,5.762051382780177,1686.0,0.0,0.0,7.43543801981455,1.0,0.0,2.0,0.0,3.0,0.6931471805599453,1.0,7.60339933974067,2.0,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.634603026569334
4.560826249094256,9.247925132303454,1973.0,1973.0,5.484796933490655,6.756932389247553,3.4965075614664802,5.37989735354046,1107.0,6.891625897052253,0.0,7.645397699428633,1.0,0.0,2.0,1.0,3.0,0.6931471805599453,2.0,7.587817219993427,2.0,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,5.860786223465865,11.0,2009.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.206072645530174
3.9512437185814275,8.71948076085107,1931.0,1950.0,0.0,0.0,0.0,6.859614903654202,952.0,6.6240652277998935,0.0,7.4815557019095165,0.0,0.0,2.0,0.0,2.0,1.0986122886681096,2.0,7.566311014772463,2.0,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,0.0,4.0,2008.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.77452020265869
3.9318256327243257,8.912069097970134,1939.0,1950.0,0.0,6.747586526829315,0.0,4.948759890378168,991.0,0.0,0.0,6.982862751468942,1.0,0.0,1.0,0.0,2.0,1.0986122886681096,2.0,7.570443252057374,1.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.678439903447801
